year,month,ProductId,unitPrice,unitsSold
2017,1,2,5.23,231
2017,1,3,0.3,427
2017,1,4,9.24,159
2017,1,5,1.36,290
2017,1,6,0.65,362
2017,1,8,2.61,21
2017,1,9,4.08,488
2017,1,10,0.18,272
2017,1,11,1.54,232
2017,1,12,5.14,163
2017,1,13,2.13,35
2017,1,14,2.66,38
2017,1,15,10.08,155
2017,1,16,1.84,109
2017,1,17,0.6,324
2017,1,18,1.8,306
2017,1,19,0.25,285
2017,1,20,6.77,117
2017,1,21,4.29,83
2017,1,22,2.73,52
2017,1,23,0.75,252
2017,1,24,3.13,480
2017,1,25,8.45,257
2017,1,26,0.63,12
2017,1,27,1.03,270
2017,1,28,0.61,28
2017,1,29,4.39,161
2017,1,30,3.85,394
2017,1,31,1.68,328
2017,1,32,4.45,395
2017,1,33,3.22,79
2017,1,34,3.97,412
2017,1,35,3.89,154
2017,1,36,4.23,123
2017,1,37,1.54,525
2017,1,38,2.15,233
2017,1,39,12.39,444
2017,1,40,7.4,196
2017,1,41,1.38,191
2017,1,42,7.42,122
2017,1,43,2.82,157
2017,1,44,2.38,440
2017,1,45,5.6,206
2017,1,46,3.52,559
2017,1,47,5.71,357
2017,1,48,1.65,333
2017,1,49,0.93,191
2017,1,50,4.13,215
2017,1,51,3.82,179
2017,1,52,10.59,150
2017,1,53,3.08,166
2017,1,54,3.94,282
2017,1,55,4.48,213
2017,1,56,6.98,176
2017,1,57,1.05,79
2017,1,58,2.12,211
2017,1,59,3.08,106
2017,1,60,3.17,329
2017,1,61,4.41,149
2017,1,62,3.66,86
2017,1,63,6.09,485
2017,1,64,2.29,159
2017,1,65,1.82,76
2017,1,66,1.36,189
2017,1,67,11.16,240
2017,1,68,3.97,160
2017,1,69,3.73,154
2017,1,70,0.47,218
2017,1,71,9.61,81
2017,1,72,2.89,128
2017,1,73,5.2,222
2017,1,74,0.89,101
2017,1,75,5.67,330
2017,1,76,0.28,128
2017,1,77,7.07,116
2017,1,78,3.26,428
2017,1,79,3.68,195
2017,1,80,5.04,238
2017,1,81,4.23,98
2017,1,82,0.98,378
2017,1,83,2.12,325
2017,1,84,3.68,212
2017,1,85,3.92,9
2017,1,86,0.07,206
2017,1,87,2.45,501
2017,1,88,13.74,111
2017,1,89,16.83,415
2017,1,90,4.93,201
2017,1,91,1.03,169
2017,1,92,2.5,310
2017,1,93,9.24,155
2017,1,94,2.78,324
2017,1,95,0.96,180
2017,1,96,2.73,362
2017,1,97,6.42,306
2017,1,98,2.71,308
2017,1,99,15.47,174
2017,1,100,3.8,106
2017,1,101,0.95,338
2017,1,102,0.23,180
2017,1,103,2.03,602
2017,1,104,4.93,350
2017,1,105,3.04,126
2017,1,106,2.19,232
2017,1,107,8.61,296
2017,1,108,3.12,129
2017,1,109,0.72,127
2017,1,110,4.01,321
2017,1,111,2.78,108
2017,1,112,2.61,190
2017,1,113,12.3,223
2017,1,114,4.62,257
2017,1,115,6.02,156
2017,1,116,3.13,228
2017,1,117,19.93,456
2017,1,118,4.29,67
2017,1,119,1.91,158
2017,1,120,0.68,151
2017,1,121,0.89,59
2017,1,122,4.66,135
2017,1,123,5.77,245
2017,1,124,8.29,241
2017,1,125,0.49,169
2017,1,126,2.94,13
2017,1,127,1.68,304
2017,1,128,3.92,482
2017,1,129,1.42,206
2017,1,130,0.39,485
2017,1,131,3.95,59
2017,1,132,5.86,332
2017,1,133,1.24,379
2017,1,134,5.86,266
2017,1,135,1.42,395
2017,1,136,7.3,181
2017,1,137,3.99,152
2017,1,138,8.03,92
2017,1,139,1.19,184
2017,1,140,1.99,33
2017,1,141,4.79,167
2017,1,142,3.54,224
2017,1,143,0.68,200
2017,1,144,4.41,53
2017,1,145,2.05,92
2017,1,146,0.21,203
2017,1,147,1.66,152
2017,1,148,9.48,89
2017,1,149,14.12,388
2017,1,150,0.75,417
2017,1,151,0.6,270
2017,1,152,7.54,204
2017,1,153,3.46,87
2017,1,154,3.94,58
2017,1,155,6.98,376
2017,1,156,3.34,229
2017,1,157,0.49,104
2017,1,158,2.82,22
2017,1,159,0.89,14
2017,1,160,12.51,218
2017,1,161,2.29,308
2017,1,162,3.36,216
2017,1,163,3.85,94
2017,1,164,1.22,148
2017,1,165,7.0,354
2017,1,166,2.66,432
2017,1,167,4.17,326
2017,1,169,3.85,5
2017,1,170,5.67,216
2017,1,171,7.7,224
2017,1,172,3.9,428
2017,1,173,3.59,66
2017,1,174,4.6,192
2017,1,175,0.6,88
2017,1,176,0.18,435
2017,1,177,5.46,440
2017,1,178,9.87,212
2017,1,179,3.69,78
2017,1,180,3.75,334
2017,1,181,0.49,112
2017,1,182,7.26,306
2017,1,183,2.73,72
2017,1,184,9.21,161
2017,1,185,5.18,47
2017,1,186,0.89,4
2017,1,187,8.47,59
2017,1,188,7.89,475
2017,1,189,5.34,218
2017,1,190,1.87,186
2017,1,191,0.33,325
2017,1,192,5.83,305
2017,1,193,2.15,352
2017,1,194,1.5,175
2017,1,195,0.04,151
2017,1,196,2.5,254
2017,1,197,3.04,287
2017,1,198,2.61,173
2017,1,199,2.87,274
2017,1,200,4.92,384
2017,1,201,0.96,93
2017,1,202,3.12,225
2017,1,203,2.78,137
2017,1,204,0.95,161
2017,1,205,1.14,288
2017,1,206,4.17,241
2017,1,207,2.17,248
2017,1,208,4.18,72
2017,1,209,0.54,286
2017,1,210,2.35,108
2017,1,211,1.01,204
2017,1,212,2.87,24
2017,1,213,3.43,162
2017,1,214,0.75,366
2017,1,215,0.91,227
2017,1,216,1.79,31
2017,1,217,2.31,266
2017,1,218,0.14,116
2017,1,219,2.77,48
2017,1,220,5.27,321
2017,1,221,1.22,296
2017,1,222,3.08,301
2017,1,223,1.57,145
2017,1,224,3.36,345
2017,1,225,8.4,303
2017,1,226,1.54,106
2017,1,227,2.78,119
2017,1,228,1.12,135
2017,1,229,0.84,231
2017,1,230,4.48,204
2017,1,231,3.08,258
2017,1,232,1.05,113
2017,1,233,0.53,201
2017,1,234,4.58,157
2017,1,235,0.32,162
2017,1,236,0.82,213
2017,1,237,6.49,41
2017,1,238,12.16,65
2017,1,239,7.7,235
2017,1,240,8.49,122
2017,1,241,1.54,182
2017,1,242,1.63,220
2017,1,243,0.77,144
2017,1,244,1.03,341
2017,1,245,0.02,299
2017,1,246,3.95,171
